-31.63,33.11,-508.18,-58.22,4706,0
-31.50,33.03,-508.17,-58.22,4806,0
-31.50,33.03,-508.17,-58.01,4906,0
0.23,0.13,0.57,0.04,4957,0
0.13,0.20,0.56,0.00,5057,0
-0.07,0.12,0.62,0.02,5159,0
-0.06,0.06,0.70,0.01,5259,0
-0.01,0.12,0.68,0.02,5309,0
0.17,0.09,0.73,-0.03,5409,0
0.15,0.05,0.73,0.01,5510,0
0.10,0.08,0.70,0.04,5610,0
-0.05,0.10,0.75,0.00,5660,0
-0.06,0.01,0.75,0.03,5760,0
-0.01,0.07,0.78,-0.04,5860,0
0.08,0.12,0.75,-0.06,5960,0
0.09,0.08,0.75,0.04,6061,0
0.05,0.04,0.93,0.02,6111,0
0.08,0.05,0.96,-0.02,6211,0
-0.03,0.08,0.91,-0.03,6311,0
-0.02,0.05,0.96,-0.03,6411,0
0.06,0.06,0.99,0.03,6461,0
0.02,0.03,1.00,-0.05,6561,0
-0.03,0.05,0.94,-0.08,6662,0
0.05,0.01,0.96,-0.04,6762,0
-0.08,0.03,0.99,-0.09,6812,0
-0.03,0.03,1.00,-0.10,6912,0
0.11,0.11,1.20,-0.04,7012,0
0.11,0.05,1.20,-0.01,7113,0
0.04,0.10,1.20,-0.00,7213,0
0.09,0.13,1.22,0.06,7263,0
0.05,0.04,1.23,0.08,7363,0
0.05,0.04,1.21,0.02,7463,0
-0.02,0.06,1.21,-0.04,7563,0
0.07,0.06,1.22,-0.07,7663,0
0.09,0.09,1.31,0.02,7764,0
0.12,0.08,1.36,-0.08,7814,0
0.02,0.14,1.39,-0.09,7914,0
-0.01,0.09,1.39,-0.02,8014,0
-0.02,0.13,1.42,0.06,8114,0
0.06,0.16,1.47,-0.02,8214,0
0.01,0.08,1.47,0.12,8315,0
0.04,0.07,1.50,0.03,8365,0
0.05,0.10,1.56,-0.03,8465,0
0.03,0.10,1.47,0.00,8565,0
0.07,0.10,1.54,0.02,8665,0
0.00,0.08,1.64,-0.02,8765,0
0.03,0.12,1.68,-0.01,8866,0
-0.04,0.14,1.62,0.03,8916,0
-0.01,0.13,1.66,-0.01,9016,0
0.02,0.13,1.62,0.02,9116,0
-0.03,0.12,1.64,0.00,9216,0
0.01,0.12,1.66,0.04,9316,0
-0.00,0.13,1.68,0.05,9417,0
0.02,0.18,1.71,0.02,9467,0
0.04,0.08,1.72,0.04,9567,0
0.07,0.05,1.76,-0.01,9667,0
0.02,0.05,1.76,0.00,9768,0
0.12,0.18,1.78,-0.02,9868,0
0.05,0.19,1.81,0.01,9968,0
-0.05,0.15,1.76,0.06,10018,0
-0.01,0.10,1.86,0.01,10119,0
0.02,0.09,1.89,0.01,10175,0
-0.01,0.09,1.78,0.13,10276,0
0.03,0.16,1.82,0.16,10376,0
0.06,0.23,1.85,0.12,10476,0
0.04,0.24,1.89,0.11,11001,0
-0.02,0.23,1.95,0.11,11001,0
-0.04,0.17,1.94,0.12,11001,0
-0.01,0.19,1.98,0.12,11001,0
0.00,0.15,2.01,0.10,11001,0
-0.04,0.13,1.97,0.11,11051,0
0.01,0.24,1.97,0.11,11152,0
-0.01,0.28,1.97,0.08,11202,0
-0.06,0.22,2.02,0.06,11302,0
-0.06,0.27,2.07,0.08,11402,0
-0.13,0.21,2.07,0.08,11502,0
0.02,0.15,2.09,0.07,11603,0
0.05,0.20,2.10,0.08,11703,0
-0.06,0.20,2.14,0.08,11753,0
-0.12,0.21,2.17,0.19,11853,0
-0.09,0.30,2.17,0.10,11954,0
-0.01,0.25,2.19,0.12,12054,0
0.02,0.22,2.22,0.10,12154,0
-0.03,0.24,2.22,0.09,12254,0
-0.08,0.22,2.23,0.10,12354,0
-0.10,0.19,2.21,0.17,12405,0
-0.14,0.18,2.16,0.10,12505,0
-0.12,0.22,2.22,0.19,12605,0
-0.04,0.26,2.24,0.20,12705,0
-0.08,0.16,2.22,0.22,12806,0
-0.09,0.11,2.27,0.23,12906,0
-0.16,0.16,2.22,0.17,12956,0
-0.08,0.24,2.30,0.25,13056,0
-0.00,0.27,2.32,0.22,13157,0
-0.09,0.30,2.31,0.22,13257,0
-0.10,0.23,2.36,0.11,13357,0
-0.05,0.19,2.31,0.17,13457,0
-0.10,0.12,2.36,0.20,13507,0
-0.10,0.13,2.33,0.19,13608,0
-0.11,0.18,2.41,0.17,13708,0
-0.10,0.18,2.36,0.13,13808,0
-0.09,0.25,2.38,0.15,13908,0
-0.03,0.11,2.40,0.14,14009,0
-0.02,0.14,2.50,0.13,14059,0
-0.08,0.19,2.49,0.17,14159,0
-0.02,0.19,2.42,0.15,14259,0
0.04,0.24,2.42,0.14,14360,0
-0.03,0.19,2.38,0.10,14460,0
-0.04,0.23,2.49,0.12,14560,0
-0.05,0.22,2.55,0.11,14660,0
-0.04,0.19,2.51,0.12,14710,0
-0.08,0.26,2.47,0.12,14811,0
-0.14,0.18,2.54,0.12,14911,0
-0.05,0.18,2.54,0.22,15011,0
-0.06,0.21,2.60,0.13,15111,0
0.03,0.26,2.63,0.14,15212,0
-0.07,0.18,2.64,0.22,15748,0
-0.19,0.14,2.64,0.26,15748,0
-0.07,0.18,2.63,0.27,15748,0
